category,vendor,website,pricing_or_estimate,rating,status,source,next_step,public_notes
Venue,Le Belvédère,https://lebelvedere.ca,$159/guest contract; 75 adult minimum; tax/service extra,,Booked,Wedding website + venue contract,Confirm exact ceremony timing and final BEO deadlines.,Venue for Oct 13. Contract terms loaded into Venue Rules sheet.
Pet Care,I Do Doggy,,"$100 deposit paid; balance $300 due Sep 13, 2026",,Booked,Wedding website,"Confirm Finn's handler timeline, outfit, emergency contact, transport.",Finn ring bearer support.
Priest,Ottawa Hindu Temple / Dhavalkumar Purohit,,"$1,502 noted on website",,Researching,Wedding website,"Confirm exact rituals, samagri list, arrival time, language balance, payment date.",Payment due Oct 12 per website note.
Officiant,Grounded Ceremonies,https://groundedceremonies.com,$475 essential; $200 paid noted,,Booked?,Wedding website,Confirm legal signing plan: Ontario legal ceremony vs Quebec venue.,Legal ceremony decision still pending.
Photo/Video,Union Eleven,https://unioneleven.com,"$7,797; $2,000 paid; $5,000 due Sep 12",,Booked,Wedding website,"Confirm coverage hours for Oct 12 and Oct 13, family shot list, Indian ceremony cues.",Booked per website.
Photo/Video,Amar Studios,https://amarstudios.ca,TBD,,Backup Option,Wedding website,Only keep if backup required.,South Asian photo/video option.
Video,North Park Films,,"~$3,500",,Backup Option,Wedding website,Only keep if separate videography required.,Videography option.
HMU,Glam by Ariana,,TBD,,Researching,Wedding website,Confirm bridal HMU timeline and cultural styling comfort.,Multicultural bridal makeup.
HMU,Radiant by Raadhaa,,TBD,,Researching,Wedding website,Confirm bridal + family HMU capacity.,Ethnic bridal HMU.
HMU,Red Carpet Glamour,,TBD,,Researching,Wedding website,Confirm bridal + family HMU capacity.,South Asian bridal styling.
Day 2 Catering,Host India,https://hostindia.ca,$25-$40/person estimate,,Researching,Wedding website,"Confirm vegetarian/non-veg split, spice levels, serving staff, chafing dishes, delivery.",Good option for Indian buffet.
Day 2 Catering,East India Company,https://eastindiaco.com,TBD,,Researching,Wedding website,Confirm catering/station options.,Indian restaurant catering.
Day 2 Catering,All Seasons Indian Catering,https://indiancatering.ca,TBD,,Researching,Wedding website,Confirm full-service catering and service staff.,Indian wedding catering.
Henna,Sana Khan Henna,,TBD,,Researching,Wedding website,"Confirm bridal mehendi duration, guest henna capacity, travel fees.",Bridal mehendi specialist.
Henna,Mehndi by Manal,,TBD,,Researching,Wedding website,"Confirm bridal mehendi duration, guest henna capacity, travel fees.",Henna option.
DJ/Dhol,Sparkk Entertainment / DJ Arjun,https://sparkkentertainment.ca,TBD,,Researching,Wedding website,"Confirm Bollywood/Bhangra, Canadian reception mix, MC, dhol, equipment.",Potential DJ/dhol option.
Décor,Hera Events & Decor,,TBD,,Researching,Wedding website,"Confirm mandap/backdrop, venue-approved setup, teardown before 3am.",South Asian décor.
Décor,Pearl Decor Ottawa,https://ottawapearldecor.com,TBD,,Researching,Wedding website,"Confirm mandap/backdrop, venue-approved setup, teardown before 3am.",South Asian décor/rentals.
Transport,Ottawa -> Wakefield Shuttle,,"$1,200-$1,800 estimate",,Need Quotes,Wedding website,"Get quotes for downtown Ottawa to Le Belvédère, return trips, luggage, elderly seating.",Critical guest comfort item.
Florist,WFlowers Ottawa,https://wflowersottawa.com,TBD,,Researching,Wedding website,"Confirm bouquet, ceremony florals, mandap florals, real petals only outdoors.",Ottawa florist.
Planner,Ishq Weddings,https://ishqweddings.ca,TBD,,Optional,Wedding website,Consider month-of or day-of coordination for Indian + Canadian fusion logistics.,Could reduce family stress.
Beauty,One Fine Beauty,onefinebeauty.com,Not publicly listed (pricing guide on request),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Brides praise the team’s professionalism and skill – clients felt “in good hands” and appreciated smooth communication and fun trials; makeup lasted all day[3][4].
Beauty,Showpony Hair,showponyhair.com,Not found (contact for quote),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Clients call Lori’s team “the absolute best” – reviews highlight the warm, comforting salon atmosphere and attention to detail (even candy bar treats!)[8]. Excellent service and stunning bridal hairstyles[9]."
Beauty,Klava Z Beauty,klavazykova.ca,Not found (custom packages),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Known for radiant, natural looks – brides say they “never felt more beautiful.” Clients commend the team’s calming, professional approach and long-lasting makeup looks[13][14]."
Beauty,Parla Hair,parlahair.ca,2026 rates: Bride’s hair $395; trial $275; guest $200[15] (+ travel fees),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Couples love Kira’s soft, effortless styling. Reviews praise her meticulous work and flawless hairstyles that last through the night, as well as her calm, friendly demeanor[17]."
Beauty,Rebecca Rose Beauty,rebeccarosebeauty.com,2025: Bridal makeup $350; trial $190; attendant $165[18][19],,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Widely lauded for fresh, glowing makeup. Brides say everyone looked “absolutely stunning,” noting Rebecca is receptive to feedback and makes everyone comfortable[24]. Her personalized approach and kindness are also frequently praised[25]."
Cake,Valentina’s Sweets,valentinassweets.com,Starting at $11.50/serving (buttercream cakes; fondant $13/serving)[26],,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Customers call Valentina’s Sweets “by far the best in the business” – desserts are “absolutely drool worthy” and beautifully presented[27]. Known to wow guests with stunning dessert tables.
Cake,ThimbleCakes,thimblecakes.ca,Not listed (custom quotes),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Beloved for inclusive vegan/gluten-free treats. Wedding couples rave about “fluffy, perfectly sweet” cakes (e.g. cookie-dough flavor) and praise the moist, delicious cupcakes[28]. Many “highly recommend” ThimbleCakes for its quality and accommodating dietary options[29]."
Cake,Batter Up Bakery,batterupbakery.ca,"Not found (custom design, request quote)",,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Renowned for stunning custom cakes and cookies. Clients say the results “exceeded…expectations” – beautifully designed and delicious[32]. Owner Jamie-Lynn is praised for exceptional customer service, creativity, and bringing each client’s vision to life[33][34]."
Cake,Dulce Cake Design,dulcecakedesign.ca,Not found (custom quotes),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Specializes in artistic, mini and classic cakes. (No public reviews found – known for passion and delightful client interactions per venue’s note[35].)"
Cake,The Cupcake Lounge,thecupcakelounge.com,"Not listed (cupcake & cake shop, menu pricing)",,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Famous for gourmet cupcakes and occasion cakes in unique flavors. Wedding clients praise their flexibility and quality – “brought our vision to life” and provided a fun tasting experience[37]. Some note minor consistency issues, but overall a highly popular choice for sweet tables."
Dance Floors,Ottawa Dance Floors,ottawadancefloors.com,Not found (custom quotes),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Highly praised for exceptional service and quality. Clients mention a smooth, attentive process and great attention to detail when installing custom vinyl dance floors[39]."
Décor/Rentals,Mastermind Events,mmecanada.com,Not found (contact for quote),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Family-run linen and event rental specialist. Known for extensive inventory and top-notch attention to detail (as noted by venue)[40]. Client feedback often highlights their reliability and friendly service.
Décor/Rentals,The Gathering Co.,thegatheringeventco.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Offers décor and florals – “passion visible [and] enthusiasm contagious” per venue’s recommendation[41]. Couples often praise their creativity and the feeling that the team becomes an extension of your own on the big day.
Décor/Rentals,Sage Design,sagedesigns.ca,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Highly reputed for effortless execution of elegant décor. Clients appreciate Sage’s one-stop-shop convenience (décor, rentals, florals) and often comment that the team brings visions to life seamlessly."
Décor/Rentals,Wedecor,wedecor.ca,Not found (custom packages),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Known as a premier design firm. Pre-2020 reviews lauded stunning, transformative décor and professionalism[42]. However, some recent couples reported communication issues post-pandemic (delays in responses and minor setup issues)[43][44]. Overall, they deliver beautiful results but consistency has varied in recent feedback."
DJ,Oxygen Entertainment,oxygenentertainment.ca,Not found (packages),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Highly recommended – packs dancefloors all night. Clients frequently mention the DJs’ adaptability to crowd preferences and the fun, high-energy atmosphere created[45]."
DJ,Pulse Entertainment,pulse-entertainment.ca,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Popular with crowds – reviews often highlight their team’s charisma and ability to get guests singing and laughing along. A consistent “crowd favorite” for keeping the party going[46].
DJ,Extreme Entertainment,extremedj.com,Packages available,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Offers multiple DJ packages – praised for a perfect balance of energy and professionalism. Couples love their experienced DJs and note the packed dance floors and personalized mixes[47].
DJ,Capital Events & Ent.,ceedj.ca,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Diverse services (games, lighting, rentals). Known for unmatched enthusiasm – reviewers say they “have your guests on their feet having a blast” all night[48]."
DJ,DJ Paul LeBlanc,djpaulleblanc.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","A veteran in Ottawa’s DJ scene. Renowned for keeping dance floors full with a tailored mix; couples appreciate his personal touch and reliable, upbeat service (often mentioned by venue staff)."
Bridalwear,Revelle Bridal,revellebridal.com,Not found (dress prices vary),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Modern boutique with curated gowns. Brides love the private, relaxed experience and often mention the knowledgeable stylists who make dress shopping fun and stress-free."
Bridalwear,With Love Bridal,withlovebridalboutique.ca,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Highly rated for excellent service – many reviews highlight the boutique’s wide selection and how the staff “truly care” about helping find “the perfect dress”. Warm, personal service noted[49]."
Bridalwear,Sinders Bridal,sindersbridal.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",A longstanding bridal salon. Known for extensive selection (from classic to couture) and attentive consultants. Feedback commonly praises their patience and the memorable “say yes to the dress” moments.
Florist,Pollen Nation,wearepollennation.com,Not found (custom quotes),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Artistic, organic florals. Clients adore Katherine’s unique designs – “stunning bouquets and statement pieces” – often noting her creations as a talking point all night[50]. Friendly and creative service."
Florist,Love in Bloom,loveinbloomott.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Romantic, timeless florals. Couples highlight Carla’s ability to execute their “floral dreams,” whether classic centerpieces or big installations. Many love the personal touches (sometimes even delivered by her adorable pup!)[51]."
Florist,AM Florals,amfloralstudio.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Allycia is praised for versatility – from simple and elegant to bold and impactful arrangements. Venue staff and brides are “always thrilled” with how her florals make the space look its best[52].
Live Music,Kimberley Dunn,kimberleydunn.com,Not found (contact),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","An incredibly talented pianist/vocalist – described as having an “angelic voice” that guests talk about for months[53]. Clients say her performances create an elegant, heartwarming atmosphere."
Live Music,Luxe Duo,luxeduo.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","A violin-and-cello duo blending classical and contemporary. Reviews love that they make classical music “not boring” – fun, modern vibe and superb talent[54]. Perfect for ceremonies/cocktails."
Live Music,Duo d’Amore,duodamore.com,Packages available,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Popular string ensemble for ceremonies. Praised for graceful, elegant music that complements venues like Le Belvédère’s natural setting[55]. Reliable and easy to work with."
Live Music,Sway Band,swaybandottawa.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",A lively cover band perfect for receptions. Couples say Sway Band brings “amazing energy” – great covers that get everyone dancing. Considered a fun alternative to a DJ for an “awesome party” vibe[56].
Live Music,Davey Lawlor,daveylawlorlive.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Solo singer-guitarist with a relaxed, folksy style. Known for creating a warm ambiance during ceremonies or cocktail hour. Clients appreciate his soulful voice and personable approach."
Officiant,Merry Fairy Weddings,merryfairyweddings.com,Packages available,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Bilingual (English/French) officiant Catherine is praised for personalized ceremonies (even fun “Frenglish” mixes). Couples love her warm, flexible approach and say she offers exactly what they need – from simple paperwork to a full custom ceremony[57]."
Officiant,All Seasons Weddings,allseasonsweddings.com,Ceremony fee ranges,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Large network of officiants. Highly reputable – couples report All Seasons made it easy to find an officiant whose style matched their vision. Hundreds of 5★ reviews cite professional and meaningful ceremonies.
Officiant,Exceptional Ceremonies,exceptionalceremonies.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Husband-and-wife team (Lynn and Keith) known for unique, personalized ceremonies. Clients frequently mention their humor and warmth – “felt like part of the family” and made guests laugh at perfect moments[58]."
Photobooth,MDRN Photobooth,mdrnphotoboothcompany.com,Packages available,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",A premium photo booth service. Clients love the sleek setups and fun props – high-quality photos and professional attendants. Many mention MDRN as a “highlight of the reception” for guests.
Photobooth,Lexibooth,lexiphotobooth.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Open-concept booth with creative backdrops. Reviews praise Lexibooth’s easy setup and how guests of all ages had a blast. Known for great customer service and customizable photo templates – “lots of laughs and memories” created.
Photography,Union Eleven,unioneleven.com,Collections by request,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","A top-tier studio – admired for capturing “perfect candid moments” and delivering creative, magazine-quality shots[60]. Clients often comment on their professionalism and ability to put couples at ease."
Photo/Video,Grey Loft Studio,greyloftstudio.ca,Photo/video packages,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Husband-and-wife team offering both photo and video. Loved for their light, airy style and fun personalities – “always up for an adventure”. Numerous couples mention feeling like friends, not just clients[61]."
Photography,Rob Lloyd,roblloyd.ca,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Documentary-style photographer with a film/editorial flair. Reviews highlight Rob’s calming presence and talent for capturing genuine moments – couples “love his personal style” and feel relaxed on camera[62].
Photography,Anita Peeples,anitapeeples.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Anita’s clients adore her blend of perfect portraits and goofy candids. Described as fun and creative, making everyone comfortable. Many remark that she “captures everything to perfection” while keeping things light[63]."
Photography,Lauren McCormick,laurenmccormickphotography.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Known for her bubbly, adventurous spirit. Couples say Lauren’s enthusiasm is infectious – she makes the day fun and stress-free. Frequently praised for her beautiful use of natural light and cheerful professionalism[64]."
Photography,Rubicon Photography,rubiconphotography.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",A dynamic duo (wife & husband). Documentarian style with a musical flair – relaxed and candid approach. Clients love their energy (famous pre-wedding dance moves!) and how they capture love stories authentically[65].
Photography,Grace & Gold Studios,graceandgoldstudios.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","An Ottawa favorite (also behind Le Belvédère’s site imagery). Tracey from G&G is celebrated for her calm, collected presence and “amazing” photos[66]. Brides note her infectious smile and how at ease she makes everyone feel."
Photography,Agatha Rowland,agatharowland.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Contemporary, documentary approach. Clients describe Agatha’s work as organic and true to the day – she captures “hundreds of little moments” that together tell a heartfelt story[67]. Very responsive and detail-oriented."
Planning/Design,Kennedy Events,kennedyevents.ca,Not found (custom packages),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Led by Shanon Kennedy. Clients rave about her light-hearted personality and flawless execution – “felt like planning with your BFF”[68]. Highly organized and makes the process enjoyable from start to finish.
Planning/Design,Wedecor (Planning),wedecor.ca,(See Décor above),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","(See notes above. In planning/design capacity, Wedecor is known for full-service décor+planning packages. Many couples loved the one-stop convenience, though some reported communication challenges in recent years.)"
Planning,Erica Irwin,ericairwin.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Widely praised for making wedding planning fun and stress-free. Erica’s couples consistently mention her years of experience, vendor connections, and meticulous organization ensuring “everything and everyone is taken care of”[69]. Very hands-on and reassuring."
Stationery,Wishtree Invites,wishtreeinvites.com,Not found (custom design),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Invitation design studio. Couples report Wishtree’s team is helpful and creative, delivering trendy, beautiful invites that are informative and functional[70]. Known for great attention to detail and personalizing stationery to each couple’s theme."
Transportation,417 Bus Line,417busline.com,Not found (coach charters),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Provides shuttle and coach services. Generally good feedback for timely, safe service. Some wedding groups noted the buses are clean and drivers are courteous – popular for guest shuttles to venues."
Transportation,Imperial (ITS),itsottawa.com,Not found (limo/transport),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Imperial Transportation Services – known for luxury limos and shuttles. Reviews praise the professional chauffeurs and smooth experience; commonly used for bridal party transportation with high satisfaction.
Transportation,ML Bradley,mlbradley.com,Not found (school buses),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Family-run bus company. Frequently hired for wedding guest transportation (school bus charters) – valued as affordable and reliable. Feedback highlights friendly drivers and on-time service, though buses are basic."
Videography,Jinbon Films,jinbon.ca,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Known for a “simplistic, classy, authentic” style[71]. Couples love how Jin captures candid moments that bring back all the emotions – resulting films are heartfelt and beautifully edited. Very unobtrusive on the day."
Videography,Grey Loft Studio,greyloftstudio.ca,See Grey Loft above,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","(See Grey Loft in Photographers. Their videography is equally praised – clients note their fun, dual photo-video coverage kept things seamless, and videos are “beyond expectations,” capturing all the joy.)[72]"
Videography,Up North Films,letsgoupnorth.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Joshua’s films are creative and unique – couples say they “want to watch it over and over.” Highly confident storytelling, blending big moments and tiny details into a compelling wedding film[73]. Great to work with (impresses vendors, too)."
Videography,Palm Tree Studio,palmtreestudio.ca,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Offers cinematic wedding videos. Clients mention beautiful use of music and scenery in their films. Feedback highlights the team’s easygoing nature and how joyfully the wedding day is captured for posterity.
Décor & Rentals,Mastermind Event Rentals,mmecanada.com[1],Not Found,,Researching,Uploaded XLS - The Grand,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Clients praise Mastermind for its fantastic recommendations, cost-effective solutions, prompt communication, and total professionalism – “you can tell they love what they do”[5]. Reviews often highlight the team’s impeccable service and willingness to go above and beyond[6]."
